king_wen,binary_l1_to_l6,line,edge,modality,valence,commit_direction,terminal_sign,earlier_sign,later_sign
31,001110,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
32,011100,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
32,011100,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
32,011100,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
32,011100,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
32,011100,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
32,011100,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
33,001111,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
33,001111,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
33,001111,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
33,001111,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
33,001111,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
33,001111,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
34,111100,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
34,111100,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
34,111100,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
34,111100,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
34,111100,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
34,111100,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
35,000101,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
35,000101,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
35,000101,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
35,000101,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
35,000101,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
35,000101,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
36,101000,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
36,101000,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
36,101000,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
36,101000,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
36,101000,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
36,101000,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
37,101011,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
37,101011,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
37,101011,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
37,101011,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
37,101011,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
37,101011,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
38,110101,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
38,110101,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
